Line_no,Process_Name,Process_Time_0osec,Stack
289,ADU,19520,2480
290,GPS,7520,2544
291,EMS,54453,3152
292,DIO,86560,848
293,acutator,0,864
294,CLAW,0,3280
295,annunciator,0,2304
296,FDIR,6027,552
297,test_execuPost_process,0,728
298,telemetry,744373,3536
299,data_validation,0,2480
300,
301,state_machine,0,2480
302,ADAHRS,922560,3152
303,Post_process,0,680
304,read_interface,251574,784
305,,, ADU=6,AHRS=11,GPS=6, EMS=6, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=7, FDIR=5, POST=40, Telem=41, Test_Exec=31889, Read_thread = 5
306,AHRS,0,1064
307,ADU,9920,2480
308,GPS,7894,2544
309,EMS,53227,3152
310,DIO,84853,848
311,acutator,0,864
312,CLAW,0,3280
313,annunciator,0,2304
314,FDIR,6560,552
315,test_execuPost_process,0,728
316,telemetry,0,3536
317,data_validation,0,2480
318,
319,state_machine,0,2480
320,ADAHRS,20533,3152
321,Post_process,0,680
322,read_interface,203520,784
323,,, ADU=4,AHRS=11,GPS=4, EMS=4, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=3, FDIR=5, POST=40, Telem=41, Test_Exec=31889, Read_thread = 5
324,AHRS,52160,1064
325,ADU,8640,2480
326,GPS,7573,2544
327,EMS,52693,3152
328,DIO,83147,848
329,acutator,0,864
330,CLAW,0,3280
331,annunciator,103627,2304
332,FDIR,5707,552
333,test_execuPost_process,0,728
334,telemetry,0,3536
335,data_validation,0,2480
336,
337,state_machine,0,2480
338,ADAHRS,18453,3152
339,Post_process,11786,680
340,read_interface,89973,784
341,,, ADU=5,AHRS=9,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=5, FDIR=5, POST=40, Telem=41, Test_Exec=31889, Read_thread = 5
342,AHRS,0,1064
343,ADU,9653,2480
344,GPS,6773,2544
345,EMS,2178453,3816
346,DIO,85706,848
347,acutator,0,864
348,CLAW,0,3280
349,annunciator,0,2304
350,FDIR,5440,552
351,test_execuPost_process,0,728
352,telemetry,0,3536
353,data_validation,0,2480
354,
355,state_machine,0,2480
356,ADAHRS,18934,3152
357,Post_process,0,680
358,read_interface,78347,784
359,,, ADU=5,AHRS=9,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=7, FDIR=5, POST=40, Telem=41, Test_Exec=31889, Read_thread = 5
360,AHRS,8960,1064
361,ADU,8693,2480
362,GPS,6880,2544
363,EMS,7307,3816
364,DIO,88587,848
365,acutator,0,864
366,CLAW,0,3280
367,annunciator,0,2304
368,FDIR,5760,552
369,test_execuPost_process,0,728
370,telemetry,0,3536
371,data_validation,503680,2480
372,
373,state_machine,503680,2480
374,ADAHRS,18826,3152
375,Post_process,0,680
376,read_interface,158240,784
377,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=3, FDIR=5, POST=40, Telem=41, Test_Exec=31889, Read_thread = 5
378,AHRS,0,1064
379,ADU,9120,2480
380,GPS,7147,2544
381,EMS,7360,3816
382,DIO,91520,848
383,acutator,0,864
384,CLAW,65014,3280
385,annunciator,0,2304
386,FDIR,5973,552
387,test_execuPost_process,7413,728
388,telemetry,0,3536
389,data_validation,0,2480
390,
391,state_machine,0,2480
392,ADAHRS,18987,3152
393,Post_process,0,680
394,read_interface,188533,784
395,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=5, FDIR=5, POST=40, Telem=41, Test_Exec=31889, Read_thread = 5
396,AHRS,41760,1064
397,ADU,37654,2480
398,GPS,7733,2544
399,EMS,7840,3816
400,DIO,84587,848
401,acutator,0,864
402,CLAW,0,3280
403,annunciator,0,2304
404,FDIR,6133,552
405,test_execuPost_process,42187,744
406,telemetry,0,3536
407,data_validation,0,2480
408,
409,state_machine,0,2480
410,ADAHRS,19947,3152
411,Post_process,0,680
412,read_interface,77653,784
